season,round,event,circuit,kind,start_lap,end_lap,laps
2018,1,Australian Grand Prix,Melbourne,VSC,26,28,3
2018,1,Australian Grand Prix,Melbourne,SC,28,31,4
2018,2,Bahrain Grand Prix,Sakhir,VSC,2,4,3
2018,3,Chinese Grand Prix,Shanghai,SC,31,35,5
2018,4,Azerbaijan Grand Prix,Baku,SC,1,5,5
2018,4,Azerbaijan Grand Prix,Baku,SC,40,47,8
2018,5,Spanish Grand Prix,Barcelona,SC,1,6,6
2018,5,Spanish Grand Prix,Barcelona,VSC,41,42,2
2018,6,Monaco Grand Prix,Monte Carlo,VSC,73,74,2
2018,7,Canadian Grand Prix,Montréal,SC,1,4,4
2018,8,French Grand Prix,Le Castellet,SC,1,5,5
2018,8,French Grand Prix,Le Castellet,VSC,52,53,2
2018,9,Austrian Grand Prix,Spielberg,VSC,15,16,2
2018,10,British Grand Prix,Silverstone,SC,33,37,5
2018,10,British Grand Prix,Silverstone,SC,38,41,4
2018,11,German Grand Prix,Hockenheim,SC,52,57,6
2018,12,Hungarian Grand Prix,Budapest,VSC,6,7,2
2018,12,Hungarian Grand Prix,Budapest,VSC,51,52,2
2018,13,Belgian Grand Prix,Spa-Francorchamps,SC,1,4,4
2018,15,Singapore Grand Prix,Singapore,SC,1,4,4
2018,17,Japanese Grand Prix,Suzuka,SC,4,7,4
2018,17,Japanese Grand Prix,Suzuka,VSC,41,42,2
2018,18,United States Grand Prix,Austin,VSC,11,12,2
2018,19,Mexican Grand Prix,Mexico City,VSC,5,5,1
2018,19,Mexican Grand Prix,Mexico City,VSC,31,32,2
2018,19,Mexican Grand Prix,Mexico City,VSC,62,64,3
2018,21,Abu Dhabi Grand Prix,Yas Marina,SC,1,4,4
2018,21,Abu Dhabi Grand Prix,Yas Marina,VSC,7,8,2
2019,2,Bahrain Grand Prix,Sakhir,SC,55,57,3
2019,3,Chinese Grand Prix,Shanghai,VSC,1,2,2
2019,4,Azerbaijan Grand Prix,Baku,VSC,40,41,2
2019,5,Spanish Grand Prix,Barcelona,SC,46,52,7
2019,6,Monaco Grand Prix,Monte Carlo,SC,11,14,4
2019,8,French Grand Prix,Le Castellet,VSC,50,50,1
2019,10,British Grand Prix,Silverstone,SC,20,23,4
2019,11,German Grand Prix,Hockenheim,SC,3,4,2
2019,11,German Grand Prix,Hockenheim,VSC,15,16,2
2019,11,German Grand Prix,Hockenheim,VSC,28,28,1
2019,11,German Grand Prix,Hockenheim,SC,29,33,5
2019,11,German Grand Prix,Hockenheim,SC,41,45,5
2019,11,German Grand Prix,Hockenheim,SC,57,59,3
2019,13,Belgian Grand Prix,Spa-Francorchamps,SC,1,4,4
2019,14,Italian Grand Prix,Monza,VSC,29,29,1
2019,14,Italian Grand Prix,Monza,VSC,31,31,1
2019,15,Singapore Grand Prix,Singapore,SC,36,40,5
2019,15,Singapore Grand Prix,Singapore,SC,44,47,4
2019,15,Singapore Grand Prix,Singapore,SC,50,51,2
2019,16,Russian Grand Prix,Sochi,SC,1,3,3
2019,16,Russian Grand Prix,Sochi,VSC,28,29,2
2019,16,Russian Grand Prix,Sochi,SC,29,32,4
2019,18,Mexican Grand Prix,Mexico City,VSC,1,3,3
2019,20,Brazilian Grand Prix,São Paulo,SC,54,59,6
2019,20,Brazilian Grand Prix,São Paulo,SC,66,69,4
2020,1,Austrian Grand Prix,Spielberg,SC,25,30,6
2020,1,Austrian Grand Prix,Spielberg,SC,50,53,4
2020,1,Austrian Grand Prix,Spielberg,SC,53,60,8
2020,2,Styrian Grand Prix,Spielberg,SC,1,3,3
2020,4,British Grand Prix,Silverstone,SC,2,5,4
2020,4,British Grand Prix,Silverstone,SC,13,18,6
2020,7,Belgian Grand Prix,Spa-Francorchamps,SC,11,14,4
2020,8,Italian Grand Prix,Monza,SC,20,23,4
2020,8,Italian Grand Prix,Monza,SC,25,26,2
