season,round,circuit,driver,team,grid,laps_completed,total_laps,status
2018,1,Melbourne,VET,Ferrari,3,58,58,Finished
2018,1,Melbourne,HAM,Mercedes,1,58,58,Finished
2018,1,Melbourne,RAI,Ferrari,2,58,58,Finished
2018,1,Melbourne,RIC,Red Bull Racing,8,58,58,Finished
2018,1,Melbourne,ALO,McLaren,10,58,58,Finished
2018,1,Melbourne,VER,Red Bull Racing,4,58,58,Finished
2018,1,Melbourne,HUL,Renault,7,58,58,Finished
2018,1,Melbourne,BOT,Mercedes,15,58,58,Finished
2018,1,Melbourne,VAN,McLaren,11,58,58,Finished
2018,1,Melbourne,SAI,Renault,9,58,58,Finished
2018,1,Melbourne,PER,Force India,12,58,58,Finished
2018,1,Melbourne,OCO,Force India,14,58,58,Finished
2018,1,Melbourne,LEC,Sauber,18,58,58,Finished
2018,1,Melbourne,STR,Williams,13,58,58,Finished
2018,1,Melbourne,HAR,Toro Rosso,16,57,58,+1 Lap
2018,1,Melbourne,GRO,Haas F1 Team,6,24,58,Wheel
2018,1,Melbourne,MAG,Haas F1 Team,5,22,58,Wheel
2018,1,Melbourne,GAS,Toro Rosso,20,14,58,Engine
2018,1,Melbourne,ERI,Sauber,17,6,58,Steering
2018,1,Melbourne,SIR,Williams,19,5,58,Brakes
2018,2,Sakhir,VET,Ferrari,1,57,57,Finished
2018,2,Sakhir,BOT,Mercedes,3,57,57,Finished
2018,2,Sakhir,HAM,Mercedes,9,57,57,Finished
2018,2,Sakhir,GAS,Toro Rosso,5,57,57,Finished
2018,2,Sakhir,MAG,Haas F1 Team,6,57,57,Finished
2018,2,Sakhir,HUL,Renault,7,57,57,Finished
2018,2,Sakhir,ALO,McLaren,13,56,57,+1 Lap
2018,2,Sakhir,VAN,McLaren,14,56,57,+1 Lap
2018,2,Sakhir,ERI,Sauber,17,56,57,+1 Lap
2018,2,Sakhir,OCO,Force India,8,56,57,+1 Lap
2018,2,Sakhir,SAI,Renault,10,56,57,+1 Lap
2018,2,Sakhir,LEC,Sauber,19,56,57,+1 Lap
2018,2,Sakhir,GRO,Haas F1 Team,16,56,57,+1 Lap
2018,2,Sakhir,STR,Williams,20,56,57,+1 Lap
2018,2,Sakhir,SIR,Williams,18,56,57,+1 Lap
